Day,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,1,19.6394,0.03795,17.336,17.906,18.238,18.413,18.684,18.867,19.137,19.639,20.142,20.412,20.594,20.865,21.041,21.373,21.943
1,1,19.7087,0.03785,17.404,17.973,18.306,18.481,18.753,18.935,19.206,19.709,20.212,20.482,20.665,20.936,21.112,21.444,22.014
2,1,19.7779,0.03775,17.471,18.041,18.374,18.55,18.821,19.004,19.274,19.778,20.281,20.552,20.735,21.006,21.182,21.515,22.085
3,1,19.8472,0.03764,17.539,18.109,18.442,18.619,18.89,19.073,19.343,19.847,20.351,20.621,20.805,21.076,21.252,21.585,22.156
4,1,19.9164,0.03754,17.606,18.177,18.51,18.687,18.958,19.141,19.412,19.917,20.42,20.691,20.874,21.146,21.322,21.656,22.227
5,1,19.9856,0.03744,17.673,18.245,18.578,18.755,19.027,19.21,19.481,19.986,20.49,20.761,20.944,21.217,21.393,21.726,22.298
6,1,20.0548,0.03734,17.741,18.313,18.646,18.823,19.095,19.279,19.55,20.055,20.56,20.831,21.015,21.287,21.463,21.797,22.369
7,1,20.1241,0.03723,17.809,18.381,18.715,18.892,19.164,19.348,19.619,20.124,20.63,20.901,21.084,21.356,21.533,21.867,22.439
8,1,20.1933,0.03713,17.876,18.449,18.783,18.96,19.232,19.416,19.687,20.193,20.699,20.97,21.154,21.427,21.604,21.937,22.51
9,1,20.2626,0.03703,17.944,18.517,18.851,19.028,19.301,19.485,19.756,20.263,20.769,21.04,21.224,21.497,21.674,22.008,22.581
10,1,20.3318,0.03693,18.011,18.585,18.92,19.097,19.37,19.554,19.825,20.332,20.838,21.11,21.294,21.567,21.744,22.078,22.652
11,1,20.401,0.03682,18.08,18.654,18.988,19.165,19.438,19.622,19.894,20.401,20.908,21.18,21.364,21.637,21.814,22.148,22.722
12,1,20.4702,0.03672,18.147,18.722,19.057,19.234,19.507,19.691,19.963,20.47,20.977,21.249,21.433,21.707,21.884,22.219,22.793
13,1,20.5394,0.03662,18.215,18.79,19.125,19.302,19.576,19.76,20.032,20.539,21.047,21.319,21.504,21.777,21.954,22.289,22.864
14,1,20.6087,0.03652,18.283,18.858,19.193,19.371,19.644,19.829,20.101,20.609,21.117,21.389,21.573,21.847,22.024,22.359,22.935
15,1,20.6684,0.03645,18.341,18.916,19.252,19.429,19.703,19.888,20.16,20.669,21.176,21.449,21.634,21.907,22.085,22.421,22.996
16,1,20.7279,0.03639,18.397,18.973,19.309,19.487,19.761,19.946,20.219,20.728,21.237,21.509,21.694,21.969,22.146,22.483,23.059
17,1,20.787,0.03633,18.453,19.03,19.367,19.545,19.819,20.004,20.278,20.787,21.296,21.57,21.755,22.029,22.207,22.544,23.121
