Day,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,1,19.3495,0.0379,17.083,17.643,17.97,18.143,18.41,18.589,18.855,19.35,19.844,20.109,20.289,20.556,20.729,21.056,21.616
1,1,19.416,0.03783,17.146,17.707,18.035,18.208,18.475,18.655,18.92,19.416,19.911,20.177,20.357,20.624,20.797,21.125,21.686
2,1,19.4824,0.03776,17.209,17.771,18.099,18.272,18.54,18.72,18.986,19.482,19.979,20.245,20.425,20.693,20.866,21.194,21.756
3,1,19.5489,0.0377,17.271,17.834,18.163,18.337,18.604,18.785,19.052,19.549,20.046,20.313,20.493,20.761,20.935,21.263,21.826
4,1,19.6154,0.03763,17.334,17.898,18.227,18.401,18.669,18.85,19.118,19.615,20.113,20.38,20.561,20.83,21.004,21.333,21.896
5,1,19.6819,0.03756,17.398,17.962,18.292,18.466,18.735,18.916,19.183,19.682,20.181,20.448,20.629,20.898,21.072,21.402,21.967
6,1,19.7484,0.03749,17.461,18.026,18.356,18.531,18.8,18.981,19.249,19.748,20.248,20.516,20.697,20.966,21.141,21.471,22.036
7,1,19.8149,0.03742,17.524,18.09,18.42,18.595,18.865,19.046,19.315,19.815,20.315,20.583,20.765,21.035,21.209,21.54,22.106
8,1,19.8814,0.03735,17.587,18.154,18.485,18.66,18.93,19.112,19.381,19.881,20.382,20.651,20.833,21.103,21.278,21.609,22.176
9,1,19.9479,0.03728,17.65,18.218,18.549,18.725,18.995,19.177,19.446,19.948,20.45,20.719,20.901,21.171,21.346,21.678,22.246
10,1,20.0144,0.03722,17.712,18.281,18.613,18.789,19.06,19.242,19.512,20.015,20.517,20.787,20.969,21.24,21.415,21.747,22.317
11,1,20.0808,0.03715,17.776,18.345,18.678,18.854,19.125,19.307,19.578,20.081,20.584,20.854,21.037,21.308,21.484,21.816,22.386
12,1,20.1473,0.03708,17.839,18.409,18.742,18.919,19.19,19.373,19.643,20.147,20.651,20.922,21.105,21.376,21.552,21.885,22.456
13,1,20.2138,0.03701,17.902,18.474,18.807,18.983,19.255,19.439,19.709,20.214,20.719,20.989,21.172,21.444,21.621,21.954,22.526
14,1,20.2803,0.03694,17.965,18.537,18.871,19.048,19.32,19.504,19.775,20.28,20.785,21.057,21.241,21.513,21.689,22.023,22.595
15,1,20.335,0.0369,18.016,18.589,18.924,19.101,19.373,19.557,19.829,20.335,20.841,21.113,21.297,21.569,21.746,22.081,22.654
16,1,20.3896,0.03687,18.067,18.641,18.976,19.153,19.426,19.61,19.883,20.39,20.896,21.169,21.353,21.626,21.804,22.139,22.713
17,1,20.4438,0.03683,18.117,18.692,19.028,19.205,19.479,19.663,19.936,20.444,20.952,21.224,21.409,21.682,21.86,22.195,22.77
18,1,20.4977,0.0368,18.167,18.743,19.079,19.257,19.531,19.716,19.989,20.498,21.006,21.28,21.465,21.739,21.917,22.252,22.829
19,1,20.5513,0.03676,18.217,18.794,19.13,19.309,19.583,19.768,20.042,20.551,21.061,21.334,21.519,21.794,21.972,22.309,22.886
20,1,20.6044,0.03673,18.266,18.844,19.181,19.359,19.635,19.82,20.094,20.604,21.115,21.389,21.574,21.849,22.028,22.365,22.943
21,1,20.6573,0.03669,18.315,18.894,19.232,19.411,19.686,19.872,20.146,20.657,21.169,21.443,21.629,21.904,22.083,22.42,23
22,1,20.7097,0.03666,18.363,18.944,19.282,19.461,19.737,19.923,20.198,20.71,21.222,21.496,21.683,21.959,22.138,22.476,23.056
23,1,20.7618,0.03663,18.412,18.993,19.331,19.511,19.787,19.974,20.249,20.762,21.275,21.55,21.736,22.013,22.192,22.531,23.112
24,1,20.8134,0.0366,18.459,19.041,19.381,19.56,19.837,20.024,20.3,20.813,21.327,21.603,21.79,22.067,22.246,22.585,23.167
25,1,20.8647,0.03656,18.507,19.09,19.43,19.61,19.887,20.074,20.35,20.865,21.379,21.655,21.842,22.119,22.299,22.639,23.222
26,1,20.9156,0.03653,18.554,19.138,19.478,19.659,19.936,20.124,20.4,20.916,21.431,21.707,21.895,22.172,22.353,22.693,23.277
27,1,20.966,0.0365,18.601,19.186,19.527,19.707,19.985,20.173,20.45,20.966,21.482,21.759,21.947,22.225,22.406,22.746,23.331
28,1,21.0161,0.03647,18.648,19.233,19.574,19.756,20.034,20.222,20.499,21.016,21.533,21.811,21.998,22.277,22.457,22.799,23.385
29,1,21.0658,0.03644,18.694,19.28,19.622,19.803,20.082,20.27,20.548,21.066,21.583,21.861,22.05,22.328,22.509,22.852,23.438
30,1,21.1152,0.03641,18.739,19.327,19.669,19.851,20.13,20.319,20.596,21.115,21.634,21.912,22.1,22.38,22.561,22.904,23.491
31,1,21.1642,0.03638,18.785,19.373,19.716,19.898,20.178,20.366,20.645,21.164,21.683,21.962,22.151,22.431,22.612,22.956,23.544
32,1,21.2128,0.03636,18.83,19.419,19.762,19.944,20.224,20.413,20.693,21.213,21.733,22.012,22.201,22.481,22.663,23.007,23.596
33,1,21.2611,0.03633,18.874,19.464,19.808,19.991,20.271,20.461,20.74,21.261,21.782,22.062,22.251,22.531,22.714,23.058,23.648
34,1,21.3089,0.0363,18.919,19.509,19.854,20.037,20.318,20.507,20.787,21.309,21.831,22.111,22.3,22.581,22.764,23.108,23.699
35,1,21.3565,0.03627,18.963,19.554,19.9,20.082,20.364,20.554,20.834,21.356,21.879,22.159,22.349,22.631,22.813,23.158,23.75
36,1,21.4036,0.03625,19.006,19.598,19.944,20.128,20.409,20.6,20.88,21.404,21.927,22.208,22.398,22.68,22.863,23.209,23.801
37,1,21.4504,0.03622,19.05,19.643,19.989,20.172,20.455,20.645,20.926,21.45,21.974,22.256,22.446,22.728,22.911,23.258,23.851
38,1,21.4968,0.03619,19.093,19.687,20.033,20.217,20.5,20.691,20.972,21.497,22.022,22.303,22.494,22.776,22.96,23.307,23.901
39,1,21.5428,0.03617,19.135,19.73,20.077,20.261,20.544,20.735,21.017,21.543,22.069,22.35,22.541,22.824,23.008,23.356,23.951
40,1,21.5885,0.03614,19.178,19.774,20.121,20.305,20.589,20.78,21.062,21.589,22.115,22.397,22.588,22.872,23.056,23.404,24
41,1,21.6338,0.03612,19.219,19.816,20.164,20.348,20.632,20.824,21.107,21.634,22.161,22.444,22.635,22.919,23.104,23.452,24.048
42,1,21.6788,0.03609,19.261,19.859,20.207,20.392,20.676,20.868,21.151,21.679,22.207,22.49,22.681,22.966,23.15,23.499,24.096
43,1,21.7235,0.03607,19.302,19.901,20.25,20.435,20.719,20.911,21.195,21.724,22.252,22.535,22.728,23.012,23.197,23.546,24.145
44,1,21.7678,0.03604,19.344,19.943,20.293,20.478,20.763,20.955,21.239,21.768,22.297,22.581,22.773,23.058,23.243,23.593,24.192
45,1,21.8119,0.03602,19.384,19.984,20.334,20.52,20.805,20.998,21.282,21.812,22.342,22.626,22.819,23.104,23.289,23.64,24.24
46,1,21.8555,0.036,19.424,20.025,20.376,20.561,20.847,21.04,21.325,21.856,22.386,22.671,22.864,23.15,23.335,23.686,24.287
47,1,21.8988,0.03597,19.465,20.067,20.417,20.603,20.889,21.082,21.368,21.899,22.43,22.715,22.908,23.194,23.38,23.731,24.333
48,1,21.9418,0.03595,19.504,20.107,20.458,20.644,20.931,21.124,21.41,21.942,22.474,22.759,22.953,23.239,23.426,23.777,24.38
49,1,21.9845,0.03593,19.544,20.147,20.499,20.685,20.972,21.166,21.452,21.985,22.517,22.803,22.997,23.284,23.47,23.822,24.426
50,1,22.0269,0.03591,19.583,20.187,20.539,20.726,21.013,21.207,21.493,22.027,22.56,22.846,23.041,23.328,23.515,23.867,24.471
51,1,22.0689,0.03588,19.622,20.227,20.58,20.767,21.054,21.248,21.535,22.069,22.603,22.889,23.083,23.371,23.558,23.911,24.516
52,1,22.1106,0.03586,19.66,20.266,20.619,20.806,21.094,21.289,21.576,22.111,22.645,22.932,23.127,23.415,23.602,23.955,24.561
53,1,22.152,0.03584,19.698,20.305,20.659,20.846,21.135,21.329,21.617,22.152,22.687,22.975,23.169,23.458,23.645,23.999,24.606
54,1,22.1931,0.03582,19.737,20.344,20.698,20.885,21.174,21.369,21.657,22.193,22.729,23.017,23.212,23.501,23.688,24.043,24.65
55,1,22.2338,0.0358,19.774,20.382,20.737,20.924,21.214,21.409,21.697,22.234,22.771,23.059,23.254,23.543,23.731,24.085,24.694
56,1,22.2743,0.03578,19.811,20.42,20.775,20.963,21.253,21.448,21.737,22.274,22.812,23.1,23.296,23.585,23.773,24.128,24.737
57,1,22.3145,0.03576,19.848,20.458,20.814,21.002,21.292,21.487,21.776,22.315,22.853,23.141,23.337,23.627,23.815,24.171,24.78
58,1,22.3543,0.03574,19.885,20.496,20.852,21.04,21.33,21.526,21.815,22.354,22.893,23.182,23.378,23.669,23.857,24.213,24.823
