Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,0.3487,7.3776,0.14602,4.515067904,5.138976213,5.526989861,5.740838292,6.080350234,6.316244895,6.673393821,7.376668558,8.128445001,8.549527994,8.842742853,9.292485945,9.59011005,10.1699259,11.21712182
1,0.3127,7.3136,0.14693,4.481998559,5.094883753,5.478488155,5.68792734,6.023030036,6.256720074,6.613869,7.312734491,8.062306311,8.48779855,8.781013409,9.232961124,9.532789852,10.11921957,11.18184786
2,0.3029,7.3568,0.14676,4.517272527,5.130157721,5.513762123,5.725405931,6.06271325,6.296403288,6.653552214,7.356826951,8.110808017,8.536300256,8.833924361,9.285872076,9.59011005,10.18094901,11.25239579
3,0.2959,7.4135,0.14647,4.559160364,5.176454804,5.562263829,5.773907637,6.111214956,6.347109617,6.706463166,7.414147149,8.172537461,8.600234323,8.900063051,9.356420012,9.660657986,10.2559062,11.33617147
4,0.2903,7.477,0.14611,4.60766207,5.227161133,5.615174781,5.829023212,6.168535154,6.404429815,6.765987987,7.478081216,8.240880774,8.670782259,8.97281561,9.431377194,9.740024414,10.33968187,11.42876563
5,0.2855,7.5449,0.14571,4.660573022,5.282276708,5.672494979,5.88634341,6.228059975,6.466159259,6.829922054,7.544219906,8.313633333,8.747944064,9.049977415,9.512948245,9.823800088,10.42786679,11.52356442
6,0.2813,7.6159,0.14528,4.713483974,5.339596906,5.7320198,5.945868231,6.289789419,6.530093326,6.896060744,7.616972465,8.388590515,8.825105869,9.131548466,9.596723919,9.909780385,10.51825633,11.62277246
7,0.2776,7.6895,0.14483,4.768599549,5.399121727,5.793749244,6.009802298,6.355928109,6.596232016,6.964404057,7.689725024,8.467956943,8.90667692,9.21532414,9.684908839,9.997965305,10.6108505,11.72418511
8,0.2742,7.7651,0.14436,4.825919747,5.458646548,5.855478688,6.073736365,6.422066799,6.664575329,7.034951993,7.764682206,8.547323371,8.990452594,9.301304437,9.773093759,10.09055947,10.70785391,11.8278024
9,0.2711,7.8432,0.14388,4.883239945,5.522580615,5.921617378,6.142079678,6.490410112,6.735123265,7.107704552,7.844048634,8.631099045,9.078637514,9.389489357,9.865687925,10.18315364,10.80485732,11.9336243
10,0.2681,7.9236,0.14339,4.942764766,5.586514682,5.989960691,6.210422991,6.563162671,6.807875824,7.184866357,7.923415062,8.717079342,9.166822434,9.4798789,9.960486714,10.28015705,10.90626998,12.04385545
11,0.2654,8.007,0.1429,5.006698833,5.652653372,6.058304004,6.280970927,6.63591523,6.885037629,7.262028162,8.007190736,8.807468885,9.2594166,9.574677689,10.05749013,10.37936508,11.00988726,12.15629122
12,0.2628,8.0932,0.14241,5.0706329,5.723201308,6.131056563,6.355928109,6.713077035,6.962199434,7.343599213,8.093171033,8.897858428,9.354215389,9.671681101,10.15890278,10.48298237,11.12011841,12.27313624
13,0.2604,8.182,0.14192,5.13677159,5.793749244,6.203809122,6.430885291,6.79023884,7.041565862,7.425170264,8.181355953,8.992657217,9.453423424,9.773093759,10.26252007,10.59100889,11.23034956,12.39439051
14,0.2581,8.2737,0.14142,5.20291028,5.866501803,6.280970927,6.508047096,6.871809891,7.125341536,7.511150561,8.273950119,9.091865252,9.554836082,9.87671104,10.37054659,10.70124004,11.34498996,12.51784939
15,0.2558,8.3679,0.14093,5.273458216,5.941458985,6.360337355,6.589618147,6.955585565,7.211321833,7.599335481,8.368748908,9.191073287,9.658453363,9.984737567,10.48077774,10.81367582,11.4640396,12.64571753
16,0.2537,8.4633,0.14044,5.344006152,6.01862079,6.439703783,6.671189198,7.039361239,7.29730213,7.689725024,8.463547697,9.294690568,9.764275267,10.09276409,10.59321352,10.92831621,11.58308924,12.77358566
17,0.2517,8.5601,0.13996,5.414554088,6.093577972,6.519070211,6.752760249,7.125341536,7.383282427,7.780114567,8.560551109,9.396103226,9.870097171,10.20079062,10.70785391,11.04516123,11.70434351,12.90586304
18,0.2497,8.6576,0.13948,5.487306647,6.1729444,6.600641262,6.836535923,7.211321833,7.471467347,7.87050411,8.657554521,9.50192513,9.978123698,10.31102177,10.82249431,11.16200625,11.8278024,13.03814042
19,0.2478,8.7554,0.139,5.560059206,6.250106205,6.682212313,6.920311597,7.29730213,7.56185689,7.963098276,8.754557933,9.605542411,10.08615023,10.42345754,10.9371347,11.27885127,11.94905666,13.16821318
20,0.246,8.8533,0.13853,5.632811765,6.32726801,6.763783364,7.001882648,7.383282427,7.65004181,8.055692442,8.853765968,9.709159692,10.19417675,10.53368869,11.0517751,11.39569629,12.07251555,13.30049056
