Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,0.3809,7.1258,0.14171,4.414,5.011,5.379,5.582,5.904,6.127,6.464,7.125,7.826,8.221,8.494,8.909,9.184,9.72,10.684
1,0.3259,7.0453,0.14578,4.328,4.919,5.287,5.49,5.809,6.034,6.376,7.046,7.76,8.166,8.446,8.876,9.16,9.718,10.725
2,0.3101,7.0777,0.14637,4.348,4.938,5.309,5.512,5.833,6.058,6.402,7.077,7.8,8.208,8.494,8.927,9.218,9.784,10.807
3,0.2986,7.1242,0.14657,4.378,4.971,5.344,5.547,5.871,6.098,6.444,7.125,7.853,8.265,8.552,8.993,9.286,9.857,10.895
4,0.2891,7.1778,0.14658,4.418,5.013,5.386,5.591,5.917,6.144,6.493,7.178,7.912,8.329,8.618,9.061,9.359,9.936,10.986
5,0.281,7.2358,0.14646,4.46,5.057,5.432,5.639,5.968,6.195,6.546,7.236,7.976,8.395,8.688,9.136,9.434,10.018,11.08
6,0.2737,7.2971,0.14626,4.504,5.106,5.483,5.69,6.021,6.25,6.603,7.297,8.042,8.466,8.761,9.211,9.513,10.104,11.175
7,0.2671,7.3608,0.146,4.55,5.157,5.534,5.743,6.076,6.307,6.662,7.361,8.113,8.539,8.836,9.29,9.595,10.19,11.27
8,0.2609,7.4267,0.14569,4.601,5.207,5.589,5.798,6.133,6.367,6.724,7.427,8.184,8.611,8.911,9.37,9.676,10.276,11.367
9,0.2551,7.4946,0.14534,4.652,5.262,5.646,5.855,6.193,6.426,6.786,7.496,8.256,8.688,8.99,9.451,9.762,10.366,11.466
10,0.2497,7.5649,0.14498,4.705,5.318,5.703,5.915,6.255,6.49,6.852,7.564,8.331,8.768,9.072,9.537,9.848,10.459,11.568
11,0.2446,7.6375,0.14459,4.758,5.377,5.765,5.977,6.318,6.557,6.92,7.637,8.411,8.849,9.156,9.623,9.938,10.551,11.671
12,0.2397,7.7124,0.1442,4.815,5.437,5.827,6.041,6.385,6.623,6.989,7.712,8.49,8.933,9.242,9.714,10.031,10.648,11.777
13,0.2349,7.7896,0.1438,4.872,5.498,5.891,6.107,6.453,6.693,7.061,7.789,8.574,9.019,9.33,9.806,10.126,10.75,11.887
14,0.2304,7.869,0.14339,4.932,5.562,5.957,6.175,6.521,6.764,7.136,7.868,8.66,9.107,9.42,9.901,10.223,10.851,12
15,0.226,7.9505,0.14299,4.991,5.626,6.025,6.243,6.594,6.839,7.211,7.95,8.746,9.198,9.515,9.998,10.322,10.957,12.114
16,0.2218,8.0332,0.14258,5.053,5.692,6.094,6.314,6.667,6.911,7.288,8.034,8.836,9.29,9.61,10.097,10.423,11.063,12.231
17,0.2177,8.117,0.14218,5.115,5.758,6.162,6.385,6.74,6.989,7.368,8.117,8.924,9.385,9.705,10.196,10.527,11.171,12.348
18,0.2137,8.2014,0.14177,5.176,5.827,6.232,6.457,6.814,7.064,7.447,8.201,9.015,9.478,9.802,10.298,10.628,11.279,12.467
19,0.2099,8.2859,0.14138,5.24,5.893,6.303,6.528,6.887,7.141,7.524,8.285,9.107,9.572,9.899,10.397,10.732,11.389,12.586
20,0.2061,8.3705,0.14098,5.302,5.961,6.374,6.601,6.962,7.216,7.604,8.371,9.198,9.667,9.996,10.498,10.836,11.497,12.703
21,0.2024,8.4552,0.1406,5.366,6.027,6.444,6.671,7.037,7.293,7.683,8.455,9.288,9.762,10.093,10.6,10.939,11.605,12.822
22,0.1989,8.5396,0.14021,5.428,6.096,6.512,6.744,7.112,7.368,7.762,8.541,9.378,9.855,10.188,10.699,11.043,11.713,12.941
23,0.1954,8.6236,0.13984,5.49,6.162,6.583,6.814,7.185,7.445,7.84,8.624,9.469,9.949,10.285,10.8,11.144,11.821,13.058
24,0.1919,8.7072,0.13947,5.553,6.228,6.654,6.887,7.26,7.52,7.919,8.708,9.557,10.042,10.379,10.9,11.246,11.929,13.175
25,0.1886,8.7903,0.1391,5.615,6.294,6.722,6.958,7.333,7.595,7.996,8.79,9.647,10.135,10.474,10.997,11.347,12.035,13.289
26,0.1853,8.8729,0.13875,5.677,6.36,6.79,7.028,7.405,7.67,8.073,8.874,9.736,10.225,10.569,11.096,11.449,12.141,13.404
27,0.1821,8.9547,0.1384,5.736,6.426,6.859,7.097,7.478,7.743,8.15,8.955,9.824,10.318,10.662,11.193,11.548,12.244,13.519
28,0.1789,9.0361,0.13805,5.798,6.49,6.927,7.167,7.549,7.818,8.225,9.037,9.91,10.408,10.756,11.288,11.647,12.348,13.631
29,0.1758,9.1168,0.13771,5.858,6.557,6.993,7.236,7.621,7.89,8.303,9.116,9.996,10.496,10.847,11.385,11.744,12.452,13.744
30,0.1727,9.1968,0.13738,5.917,6.62,7.061,7.304,7.692,7.963,8.378,9.198,10.082,10.587,10.939,11.479,11.841,12.553,13.854
31,0.1697,9.276,0.13706,5.977,6.684,7.128,7.37,7.76,8.034,8.45,9.277,10.168,10.675,11.03,11.572,11.938,12.655,13.964
32,0.1668,9.3544,0.13674,6.036,6.746,7.191,7.438,7.831,8.104,8.523,9.354,10.251,10.761,11.118,11.665,12.033,12.754,14.072
33,0.1638,9.432,0.13643,6.094,6.808,7.258,7.505,7.899,8.175,8.596,9.431,10.333,10.847,11.206,11.757,12.128,12.853,14.18
34,0.161,9.5088,0.13613,6.151,6.87,7.322,7.571,7.968,8.243,8.669,9.509,10.417,10.933,11.294,11.848,12.22,12.95,14.286
35,0.1582,9.5848,0.13583,6.208,6.931,7.385,7.635,8.034,8.314,8.739,9.586,10.498,11.017,11.38,11.938,12.313,13.047,14.39
36,0.1554,9.6602,0.13554,6.266,6.991,7.447,7.699,8.1,8.382,8.81,9.661,10.578,11.1,11.466,12.028,12.403,13.142,14.495
37,0.1526,9.7345,0.13526,6.321,7.05,7.509,7.762,8.166,8.448,8.88,9.736,10.657,11.182,11.55,12.114,12.494,13.237,14.597
38,0.1499,9.8084,0.13498,6.376,7.11,7.571,7.826,8.232,8.514,8.949,9.808,10.737,11.266,11.636,12.203,12.584,13.331,14.7
39,0.1473,9.8811,0.1347,6.431,7.169,7.632,7.888,8.296,8.58,9.017,9.881,10.814,11.345,11.718,12.289,12.672,13.424,14.8
40,0.1446,9.9534,0.13444,6.484,7.227,7.694,7.95,8.36,8.647,9.085,9.954,10.891,11.427,11.799,12.375,12.76,13.514,14.901
41,0.142,10.0249,0.13418,6.539,7.284,7.754,8.012,8.424,8.71,9.151,10.024,10.968,11.506,11.881,12.458,12.846,13.605,14.998
42,0.1395,10.0956,0.13392,6.592,7.341,7.813,8.071,8.486,8.774,9.218,10.095,11.043,11.583,11.962,12.542,12.932,13.695,15.097
43,0.1369,10.1655,0.13367,6.645,7.399,7.871,8.131,8.547,8.838,9.284,10.166,11.118,11.66,12.042,12.624,13.016,13.783,15.192
44,0.1344,10.235,0.13342,6.698,7.454,7.93,8.19,8.609,8.902,9.35,10.236,11.193,11.737,12.121,12.705,13.1,13.871,15.289
45,0.132,10.3035,0.13318,6.748,7.509,7.987,8.25,8.671,8.964,9.414,10.304,11.266,11.815,12.198,12.787,13.184,13.96,15.384
46,0.1295,10.3714,0.13295,6.799,7.564,8.042,8.307,8.73,9.026,9.478,10.371,11.338,11.89,12.275,12.868,13.265,14.046,15.476
47,0.1271,10.4387,0.13272,6.85,7.619,8.1,8.367,8.79,9.085,9.539,10.439,11.411,11.964,12.353,12.948,13.347,14.132,15.569
48,0.1247,10.5052,0.1325,6.9,7.672,8.155,8.422,8.849,9.147,9.603,10.505,11.482,12.037,12.427,13.025,13.426,14.215,15.662
49,0.1224,10.5712,0.13228,6.951,7.725,8.21,8.479,8.907,9.207,9.665,10.571,11.552,12.11,12.502,13.104,13.508,14.299,15.752
50,0.12,10.6362,0.13206,7,7.778,8.265,8.534,8.964,9.266,9.725,10.637,11.621,12.183,12.575,13.179,13.585,14.381,15.842
51,0.1177,10.7008,0.13185,7.048,7.829,8.32,8.589,9.021,9.323,9.786,10.701,11.691,12.255,12.65,13.256,13.664,14.465,15.931
